Dutch,English,Known
ik,I,false
je,you,false
u,you,false
hij,he,false
zij/ze,she/they,false
het,it,false
wij,we,false
jullie,you,false
dit,this,false
dat,that,false
wie,who,false
wat,what,false
waar,where,false
wanneer,when,false
waarom,why,false
hoe,how,false
niet,not,false
geen,no,false
ja,yes,false
nee,no,false
alstublieft,please,false
dank u wel,thank you,false
bedankt,thanks,false
goedemorgen,good morning,false
goeiemiddag,good afternoon,false
goedenavond,good evening,false
goedenacht,good night,false
hallo,hello,false
hoi,hi,false
tot ziens,goodbye,false
doei,bye,false
meneer,sir,false
mevrouw,madam,false
vriend,friend (m),false
vriendin,friend (f),false
man,man,false
vrouw,woman,false
kind,child,false
baby,baby,false
jongen,boy,false
meisje,girl,false
familie,family,false
naam,name,false
straat,street,false
huis,house,false
stad,city,false
dorp,village,false
land,country,false
werk,work,false
school,school,false
baan,job,false
winkel,shop,false
markt,market,false
geld,money,false
auto,car,false
fiets,bicycle,false
bus,bus,false
trein,train,false
station,station,false
luchthaven,airport,false
kamer,room,false
keuken,kitchen,false
badkamer,bathroom,false
bed,bed,false
tafel,table,false
stoel,chair,false
deur,door,false
raam,window,false
muur,wall,false
vloer,floor,false
plafond,ceiling,false
licht,light,false
water,water,false
brood,bread,false
melk,milk,false
koffie,coffee,false
thee,tea,false
bier,beer,false
wijn,wine,false
fruit,fruit,false
groente,vegetables,false
vlees,meat,false
vis,fish,false
kaas,cheese,false
appel,apple,false
banaan,banana,false
sinaasappel,orange,false
aardappel,potato,false
tomaat,tomato,false
ei,egg,false
boter,butter,false
suiker,sugar,false
zout,salt,false
peper,pepper,false
eten,to eat,false
drinken,to drink,false
koken,to cook,false
maken,to make,false
lezen,to read,false
schrijven,to write,false
spreken,to speak,false
zeggen,to say,false
luisteren,to listen,false
kijken,to watch,false
zien,to see,false
gaan,to go,false
komen,to come,false
lopen,to walk,false
rennen,to run,false
zitten,to sit,false
staan,to stand,false
slapen,to sleep,false
werken,to work,false
spelen,to play,false
studeren,to study,false
leren,to learn,false
begrijpen,to understand,false
weten,to know,false
denken,to think,false
voelen,to feel,false
willen,to want,false
kunnen,can,false
moeten,must,false
mogen,may,false
houden van,to love,false
leuk vinden,to like,false
helpen,to help,false
proberen,to try,false
vragen,to ask,false
antwoorden,to answer,false
kopen,to buy,false
verkopen,to sell,false
beginnen,to begin,false
eindigen,to finish,false
openen,to open,false
sluiten,to close,false
dragen,to wear,false
pakken,to take,false
gooien,to throw,false
lachen,to laugh,false
huilen,to cry,false
roepen,to call,false
wachten,to wait,false
vergeten,to forget,false
herinneren,to remember,false
vasthouden,to hold,false
laten,to let,false
geven,to give,false
nemen,to take,false
gebruiken,to use,false
trekken,to pull,false
duwen,to push,false
reizen,to travel,false
betalen,to pay,false
zoeken,to search,false
vinden,to find,false
verliezen,to lose,false
winnen,to win,false
dag,day,false
nacht,night,false
ochtend,morning,false
middag,afternoon,false
avond,evening,false
tijd,time,false
jaar,year,false
maand,month,false
week,week,false
uur,hour,false
minuut,minute,false
seconde,second,false
altijd,always,false
nooit,never,false
soms,sometimes,false
vaak,often,false
nu,now,false
later,later,false
gisteren,yesterday,false
vandaag,today,false
morgen,tomorrow,false
groot,big,false
klein,small,false
lang,long,false
kort,short,false
nieuw,new,false
oud,old,false
goed,good,false
slecht,bad,false
mooi,beautiful,false
lelijk,ugly,false
makkelijk,easy,false
moeilijk,difficult,false
snel,fast,false
langzaam,slow,false
warm,warm,false
koud,cold,false
jong,young,false
gelukkig,happy,false
verdrietig,sad,false
ziek,sick,false
gezond,healthy,false
duur,expensive,false
goedkoop,cheap,false
een,one,false
twee,two,false
drie,three,false
vier,four,false
vijf,five,false
zes,six,false
zeven,seven,false
acht,eight,false
negen,nine,false
tien,ten,false
elf,eleven,false
twaalf,twelve,false
dertien,thirteen,false
veertien,fourteen,false
vijftien,fifteen,false
zestien,sixteen,false
zeventien,seventeen,false
achttien,eighteen,false
negentien,nineteen,false
twintig,twenty,false
dertig,thirty,false
veertig,forty,false
vijftig,fifty,false
zestig,sixty,false
zeventig,seventy,false
tachtig,eighty,false
negentig,ninety,false
honderd,hundred,false
duizend,thousand,false
miljoen,million,false
de,the,false
is,is,false
zijn,to be,false
er,there,false
maar,but,false
me,me,false
heb,have,false
als,as,false
ben,am,false
was,was,false
mijn,my,false
hier,here,false
om,to,false
naar,to,false
dan,then,false
weet,to know,false
kan,can,false
zo,so,false
nog,yet,false
wel,well,false
moet,must,false
hem,him,false
heeft,has,false
nu,now,false
ga,to go,false
kom,to come,false
uit,from,false
gaan,to go,false
bent,are,false
haar,her,false
doen,to do,false
ook,also,false
mij,me,false
over,about,false
of,or,false
daar,there,false
zou,would,false
al,already,false
bij,by,false
ons,us,false
zal,shall,false
gaat,to go,false
hebt,have,false
meer,more,false
iets,something,false
laat,late,false
deze,this,false
had,had,false
doe,to do,false
jou,you,false
moeten,must,false
alles,everything,false
denk,to think,false
kunnen,can,false
eens,once,false
echt,really,false
weg,way,false
door,through,false
oké,okay,false
toch,yet,false
zien,to see,false
alleen,only,false
nou,well,false
leven,to live,false
mensen,people,false
dood,death,false
tijd,time,false
jaar,year,false
maand,month,false
week,week,false
dag,day,false
uur,hour,false
minuut,minute,false
seconde,second,false
geld,money,false
prijs,price,false
kost,cost,false
euro,euro,false
cent,cent,false
duur,expensive,false
goedkoop,cheap,false
gratis,free,false
betalen,to pay,false
kopen,to buy,false
verkopen,to sell,false
winkel,shop,false
markt,market,false
supermarkt,supermarket,false
restaurant,restaurant,false
café,café,false
hotel,hotel,false
plaats,place,false
land,country,false
stad,city,false
dorp,village,false
straat,street,false
adres,address,false
nummer,number,false
telefoon,telephone,false
computer,computer,false
internet,internet,false
e-mail,email,false
website,website,false
telefonnummer,phone number,false
mobiel,mobile,false
camera,camera,false
foto,photo,false
film,film,false
video,video,false
muziek,music,false
lied,song,false
boek,book,false
krant,newspaper,false
tijdschrift,magazine,false
televisie,television,false
radio,radio,false
familie,family,false
ouders,parents,false
vader,father,false
moeder,mother,false
zoon,son,false
dochter,daughter,false
broer,brother,false
zus,sister,false
opa,grandfather,false
oma,grandmother,false
oom,uncle,false
tante,aunt,false
neef,cousin,false
nicht,cousin,false
huwelijk,marriage,false
bruiloft,wedding,false
scheiding,divorce,false
geboorte,birth,false
dood,death,false
begrafenis,funeral,false
partij,party,false
feest,party,false
vakantie,vacation,false
reis,trip,false
vlucht,flight,false
hotel,hotel,false
camping,camping,false
strand,beach,false
zee,sea,false
meer,lake,false
rivier,river,false
berg,mountain,false
bos,forest,false
park,park,false
tuin,garden,false
boom,tree,false
bloem,flower,false
gras,grass,false
lucht,sky,false
zon,sun,false
maan,moon,false
sterren,stars,false
regen,rain,false
sneeuw,snow,false
wind,wind,false
warm,warm,false
koud,cold,false
heet,hot,false
koel,cool,false
nat,wet,false
droog,dry,false
schoon,clean,false
vuil,dirty,false
licht,light,false
donker,dark,false
kleur,color,false
rood,red,false
blauw,blue,false
groen,green,false
geel,yellow,false
wit,white,false
zwart,black,false
oranje,orange,false
paars,purple,false
roze,pink,false
bruin,brown,false
grijs,gray,false
lichaam,body,false
hoofd,head,false
haar,hair,false
gezicht,face,false
oog,eye,false
neus,nose,false
mond,mouth,false
tand,tooth,false
tong,tongue,false
oor,ear,false
nek,neck,false
schouder,shoulder,false
arm,arm,false
hand,hand,false
vinger,finger,false
duim,thumb,false
been,leg,false
voet,foot,false
teen,toe,false
buik,belly,false
rug,back,false
huid,skin,false
hart,heart,false
bloed,blood,false
ziekenhuis,hospital,false
dokter,doctor,false
verpleegster,nurse,false
medicijn,medicine,false
pijn,pain,false
gezond,healthy,false
ziek,sick,false
ziekte,disease,false
verkoudheid,cold,false
koorts,fever,false
hoofdpijn,headache,false
tandpijn,toothache,false
sport,sport,false
voetbal,football,false
tennis,tennis,false
zwemmen,swimming,false
hardlopen,running,false
fietsen,cycling,false
wandelen,walking,false
spelen,to play,false
wedstrijd,match,false
team,team,false
winnen,to win,false
verliezen,to lose,false
score,score,false
kleding,clothing,false
hemd,shirt,false
broek,pants,false
jurk,dress,false
rok,skirt,false
jas,jacket,false
schoenen,shoes,false
sokken,socks,false
hoed,hat,false
riem,belt,false
horloge,watch,false
sieraden,jewelry,false
ring,ring,false
ketting,necklace,false
onderwijs,education,false
school,school,false
leraar,teacher,false
leerling,student,false
les,lesson,false
klas,class,false
huiswerk,homework,false
examen,exam,false
diploma,diploma,false
universiteit,university,false
studie,study,false
baan,job,false
kantoor,office,false
baas,boss,false
collega,colleague,false
vergadering,meeting,false
project,project,false
bedrijf,company,false
fabrik,factory,false
winst,profit,false
verlies,loss,false
zakelijk,business,false
eten,food,false
ontbijt,breakfast,false
lunch,lunch,false
diner,dinner,false
maaltijd,meal,false
restaurant,restaurant,false
keuken,kitchen,false
koken,to cook,false
recept,recipe,false
smaak,taste,false
zoet,sweet,false
zout,salty,false
zuur,sour,false
bitter,bitter,false
scherp,sharp,false
oud,old,false
ouder,older,false
oudste,oldest,false
nieuw,new,false
nieuwer,newer,false
nieuwste,newest,false
jong,young,false
jonger,younger,false
jongste,youngest,false
groot,big,false
groter,bigger,false
grootste,biggest,false
klein,small,false
kleiner,smaller,false
kleinste,smallest,false
hoog,high,false
hoger,higher,false
hoogste,highest,false
laag,low,false
lager,lower,false
laagste,lowest,false
snel,fast,false
sneller,faster,false
snelste,fastest,false
langzaam,slow,false
langzamer,slower,false
langzaamste,slowest,false
sterk,strong,false
sterker,stronger,false
sterkste,strongest,false
zwak,weak,false
zwakker,weaker,false
zwakste,weakest,false
rijk,rich,false
rijker,richer,false
rijkste,richest,false
arm,poor,false
armer,poorer,false
armste,poorest,false
slim,smart,false
slimmer,smarter,false
slimste,smartest,false
dom,stupid,false
dommer,more stupid,false
domste,most stupid,false
belangrijk,important,false
belangrijker,more important,false
belangrijkste,most important,false
interessant,interesting,false
interessanter,more interesting,false
interessantste,most interesting,false
saai,boring,false
saaier,more boring,false
saaiste,most boring,false
leuk,nice,false
