Dutch,English,Difficulty
Ik ga naar de winkel,I am going to the store,1
Het weer is mooi vandaag,The weather is nice today,1
Zij leest een boek,She reads a book,1
Wij eten brood met kaas,We eat bread with cheese,1
De hond speelt in de tuin,The dog plays in the garden,1
Hij drinkt een kopje koffie,He drinks a cup of coffee,1
Ik heb een rode auto,I have a red car,1
De kat slaapt op de bank,The cat sleeps on the couch,1
Zij woont in Amsterdam,She lives in Amsterdam,1
Wij gaan naar het strand,We are going to the beach,1
Het kind speelt met de bal,The child plays with the ball,1
Ik werk op een kantoor,I work in an office,1
De trein vertrekt om acht uur,The train leaves at eight o'clock,1
Hij koopt een nieuw huis,He buys a new house,1
Zij zwemt in het zwembad,She swims in the swimming pool,1
Ik spreek een beetje Nederlands,I speak a little Dutch,1
De bloemen zijn heel mooi,The flowers are very beautiful,1
Wij koken het avondeten,We cook dinner,1
Hij fietst naar zijn werk,He cycles to his work,1
De kinderen spelen buiten,The children play outside,1
Ik leer Nederlands elke dag,I learn Dutch every day,2
De supermarkt is om de hoek,The supermarket is around the corner,2
Zij heeft twee jonge kinderen,She has two young children,2
Wij gaan morgen naar de film,We are going to the movies tomorrow,2
Het restaurant is erg druk,The restaurant is very busy,2
Ik neem de bus naar school,I take the bus to school,2
De dokter helpt de patient,The doctor helps the patient,2
Hij schrijft een lange brief,He writes a long letter,2
Zij bakt een lekkere taart,She bakes a delicious cake,2
Wij wandelen door het park,We walk through the park,2
De winkel sluit om zes uur,The store closes at six o'clock,2
Ik heb honger en dorst,I am hungry and thirsty,2
Het boek ligt op de tafel,The book lies on the table,2
Zij draagt een mooie jurk,She wears a beautiful dress,2
Wij luisteren naar muziek,We listen to music,2
Hij kijkt naar de televisie,He watches television,2
De vogels zingen in de boom,The birds sing in the tree,2
Ik betaal met mijn pinpas,I pay with my debit card,2
Zij studeert aan de universiteit,She studies at the university,2
Wij hebben een grote familie,We have a big family,2
Mijn broer woont in een klein appartement,My brother lives in a small apartment,2
De leraar geeft les aan de klas,The teacher teaches the class,2
Ik drink elke ochtend thee,I drink tea every morning,2
Het museum is vandaag gesloten,The museum is closed today,2
Zij maakt haar huiswerk af,She finishes her homework,2
Wij spreken over het weer,We talk about the weather,2
Hij rent snel naar de halte,He runs quickly to the stop,2
De baby slaapt de hele nacht,The baby sleeps the whole night,2
Ik zoek mijn sleutels overal,I search for my keys everywhere,2
Zij wacht op de trein,She waits for the train,2
Mijn moeder kookt elke avond voor ons,My mother cooks for us every evening,3
De oude man leest de krant in het park,The old man reads the newspaper in the park,3
Wij hebben vorige week een nieuwe auto gekocht,We bought a new car last week,3
Zij gaat morgenochtend naar de tandarts,She goes to the dentist tomorrow morning,3
Het kleine meisje speelt met haar pop,The little girl plays with her doll,3
Ik heb gisteren een interessante film gezien,I saw an interesting movie yesterday,3
De studenten maken zich klaar voor het examen,The students prepare themselves for the exam,3
Hij heeft een afspraak met zijn baas,He has an appointment with his boss,3
Wij vieren dit weekend mijn verjaardag,We celebrate my birthday this weekend,3
De ober brengt het eten naar de tafel,The waiter brings the food to the table,3
Ik moet vandaag nog boodschappen doen,I still need to do groceries today,3
Zij heeft haar telefoon thuis vergeten,She forgot her phone at home,3
Wij nemen de fiets omdat het mooi weer is,We take the bike because the weather is nice,3
Hij leert elke dag nieuwe Nederlandse woorden,He learns new Dutch words every day,3
De kinderen willen graag naar de speeltuin,The children would like to go to the playground,3
Ik ga vanavond met vrienden uit eten,I am going out to dinner with friends tonight,3
Zij werkt al drie jaar bij dit bedrijf,She has worked at this company for three years,3
Wij moeten vroeg opstaan voor de vlucht,We have to wake up early for the flight,3
Het jonge stel zoekt een groter huis,The young couple is looking for a bigger house,3
Ik vind het leuk om Nederlands te leren,I enjoy learning Dutch,3
